Mood,Exercise,Yoga Pose,Extra Tip
Sadness,Take a brisk walk or dance to your favorite song.,Child’s Pose (Balasana),Write down your feelings in a journal or talk to a close friend.
Low Energy,Do some light stretching or go for a short bike ride.,Mountain Pose (Tadasana),"Drink water, eat a healthy snack, and listen to uplifting music."
Depression,Gentle yoga or swimming.,Legs-Up-the-Wall (Viparita Karani),Spend time outside in sunlight and seek professional help if ongoing.
Anxiety,Try cardio like running or cycling.,Tree Pose (Vrikshasana) or Forward Fold (Uttanasana),Practice deep breathing and mindfulness.
Anger,Boxing or high-intensity workouts.,Eagle Pose (Garudasana),Pause and count to ten before reacting or list things you’re grateful for.
Frustration,Play sports like tennis or go for a jog.,Cat-Cow Pose (Marjaryasana/Bitilasana),Try creative activities like drawing or painting.
Loneliness,Walk with a group or play a team sport.,Bridge Pose (Setu Bandhasana),Volunteer or reach out to friends.
Fear,Swimming or flowing yoga sequences.,Warrior II (Virabhadrasana II),Challenge scary thoughts with positive truths and ground yourself.
Hopelessness,Take a walk in nature or do gentle yoga.,Supported Fish Pose (Matsyasana),Write positive affirmations and seek help from someone you trust.
Restlessness,Dance or do jumping jacks.,Downward Dog (Adho Mukha Svanasana),Make a small to-do list and complete tasks.
Overwhelm,"Go for a slow, mindful walk focusing on your breathing.",Standing Forward Fold (Uttanasana),Break tasks into smaller steps and tackle one at a time.
Boredom,Try a new sport or activity.,Chair Pose (Utkatasana),Learn a new skill or start a DIY project.
Guilt,Go for a reflective jog or nature walk.,Seated Forward Bend (Paschimottanasana),Write down what you feel guilty about and consider making amends.
Grief,Gentle walking or restorative yoga.,Reclined Bound Angle Pose (Supta Baddha Konasana),Allow yourself to cry and seek supportive company.
Excitement,Channel extra energy into a short run or bodyweight workout.,Camel Pose (Ustrasana),Write down your ideas or plans while enthusiasm is high.
